,price_date,AMZN_five_day_alpha_shifted,AMZN_rdate,AMZN_fdate,AMZN_surprisepct
79,2012-04-26,0.1767173357558248,2012-04-26,2012-03-31,-85.7143
142,2012-07-26,0.045154627924628966,2012-07-26,2012-06-30,-50.0
206,2012-10-25,0.04763219295397621,2012-10-25,2012-09-30,87.5
268,2013-01-29,0.02221113887189303,2013-01-29,2012-12-31,0.0
328,2013-04-25,-0.09056194071476509,2013-04-25,2013-03-31,-87.5
391,2013-07-25,-0.0029825635426728465,2013-07-25,2013-06-30,-140.0
455,2013-10-24,0.08964917322775356,2013-10-24,2013-09-30,0.0
521,2014-01-30,-0.10255687984003994,2014-01-30,2013-12-31,0.0
579,2014-04-24,-0.09193196805380913,2014-04-24,2014-03-31,0.0
642,2014-07-24,-0.06527785766092936,2014-07-24,2014-06-30,0.0
706,2014-10-23,-0.06821916406014379,2014-10-23,2014-09-30,-25.0
772,2015-01-29,0.18678241543420812,2015-01-29,2014-12-31,100.0
830,2015-04-23,0.09913189736767368,2015-04-23,2015-03-31,0.0
893,2015-07-23,0.11073927411204919,2015-07-23,2015-06-30,200.0
957,2015-10-22,0.08754280190964472,2015-10-22,2015-09-30,200.0
1023,2016-01-28,-0.16951974531559325,2016-01-28,2015-12-31,-37.5
1086,2016-04-28,0.1054068783378436,2016-04-28,2016-03-31,66.6667
1149,2016-07-28,0.012173801262374762,2016-07-28,2016-06-30,50.0
1213,2016-10-27,-0.03626649207741256,2016-10-27,2016-09-30,-25.0
1279,2017-02-02,-0.03578579017236842,2017-02-02,2016-12-31,14.2857
1337,2017-04-27,0.020236076068551222,2017-04-27,2017-03-31,40.0
1400,2017-07-27,-0.05515497280760114,2017-07-27,2017-06-30,-71.4286
1464,2017-10-26,0.1083280633415394,2017-10-26,2017-09-30,0.0
1530,2018-02-01,0.04386160667435328,2018-02-01,2017-12-31,22.2222
1588,2018-04-26,0.054935317473496226,2018-04-26,2018-03-31,166.6667
1651,2018-07-26,0.018563572764372767,2018-07-26,2018-06-30,92.3077
1715,2018-10-25,-0.0926391974028493,2018-10-25,2018-09-30,81.25
1780,2019-01-31,-0.06219474885539944,2019-01-31,2018-12-31,7.1429
1838,2019-04-25,0.0037305852896004554,2019-04-25,2019-03-31,45.8333
1901,2019-07-25,-0.038266692704743296,2019-07-25,2019-06-30,-7.1429
1965,2019-10-24,-0.013238702652591559,2019-10-24,2019-09-30,-8.6957
2031,2020-01-30,0.0906548676967543,2020-01-30,2019-12-31,60.0
2094,2020-04-30,-0.03689317697617017,2020-04-30,2020-03-31,-19.3548
2157,2020-07-30,0.03661005213992961,2020-07-30,2020-06-30,642.8571
2221,2020-10-29,-0.05978996984257251,2020-10-29,2020-09-30,67.5676
2285,2021-02-02,-0.044069835622253195,2021-02-02,2020-12-31,94.4444
2345,2021-04-29,-0.04471585338822283,2021-04-29,2021-03-31,64.5833
2408,2021-07-29,-0.06402889922371549,2021-07-29,2021-06-30,22.5806
2472,2021-10-28,-0.012770650186725522,2021-10-28,2021-09-30,-31.1111
2539,2022-02-03,0.13625516962560497,2022-02-03,2021-12-31,61.1111
2597,2022-04-28,-0.14192963503283584,2022-04-28,2022-03-31,-11.9048
2659,2022-07-28,0.13170599337508634,2022-07-28,2022-06-30,28.5714
2723,2022-10-27,-0.1645870097866318,2022-10-27,2022-09-30,-22.7273
2789,2023-02-02,-0.08931443387439875,2023-02-02,2022-12-31,38.8889
2847,2023-04-27,-0.02957726874836418,2023-04-27,2023-03-31,47.619
