,price_date,ORLY_five_day_alpha_shifted,ORLY_rdate,ORLY_fdate,ORLY_surprisepct
78,2012-04-25,0.09856649238437928,2012-04-25,2012-03-31,9.6154
141,2012-07-25,-0.07947323801877534,2012-07-25,2012-06-30,0.8772
205,2012-10-24,0.08276148938062097,2012-10-24,2012-09-30,3.937
274,2013-02-06,0.09696649484575552,2013-02-06,2012-12-31,5.5556
327,2013-04-24,0.06075691161360488,2013-04-24,2013-03-31,0.7407
390,2013-07-24,0.06260834128296237,2013-07-24,2013-06-30,5.3333
454,2013-10-23,-0.08634344284920425,2013-10-23,2013-09-30,2.4242
525,2014-02-05,0.07793996204580708,2014-02-05,2013-12-31,6.0606
578,2014-04-23,-0.001156662998185536,2014-04-23,2014-03-31,1.8987
641,2014-07-23,0.047889786535964984,2014-07-23,2014-06-30,3.2432
705,2014-10-22,0.07404272386755786,2014-10-22,2014-09-30,5.641
776,2015-02-04,0.06301115864213369,2015-02-04,2014-12-31,4.7619
829,2015-04-22,0.02019430600555908,2015-04-22,2015-03-31,6.1856
897,2015-07-29,0.013204906541580423,2015-07-29,2015-06-30,6.1947
961,2015-10-28,0.03006228847879778,2015-10-28,2015-09-30,6.3025
1032,2016-02-10,0.041291914165274175,2016-02-10,2015-12-31,4.2857
1085,2016-04-27,-0.005396869218908187,2016-04-27,2016-03-31,4.0161
1148,2016-07-27,0.03371516042727095,2016-07-27,2016-06-30,-1.1194
1212,2016-10-26,-0.03946535094656639,2016-10-26,2016-09-30,-0.6849
1282,2017-02-07,-0.0026725439741165265,2017-02-07,2016-12-31,1.9685
1336,2017-04-26,-0.06848437727714762,2017-04-26,2017-03-31,-9.7222
1399,2017-07-26,0.11858489077417587,2017-07-26,2017-06-30,5.1903
1463,2017-10-25,0.019691586884326217,2017-10-25,2017-09-30,2.2222
1534,2018-02-07,-0.023030583188261664,2018-02-07,2017-12-31,4.6931
1587,2018-04-25,0.1414097444767238,2018-04-25,2018-03-31,0.838
1650,2018-07-25,0.02930988010765484,2018-07-25,2018-06-30,5.4187
1714,2018-10-24,-0.0196438978696498,2018-10-24,2018-09-30,4.6512
1784,2019-02-06,0.06288447327520724,2019-02-06,2018-12-31,-0.8
1837,2019-04-24,-0.05730326865805352,2019-04-24,2019-03-31,0.0
1900,2019-07-24,-0.030234424140035583,2019-07-24,2019-06-30,-3.4261
1964,2019-10-23,0.08066417118095481,2019-10-23,2019-09-30,6.0543
2035,2020-02-05,-0.07564048783553998,2020-02-05,2019-12-31,-0.4684
2088,2020-04-22,0.0075873622026750714,2020-04-22,2020-03-31,0.5063
2156,2020-07-29,0.017013012927668696,2020-07-29,2020-06-30,65.1163
2220,2020-10-28,-0.014579887028635836,2020-10-28,2020-09-30,10.4688
2291,2021-02-10,0.002962411181760525,2021-02-10,2020-12-31,5.2632
2344,2021-04-28,0.060430241350164685,2021-04-28,2021-03-31,29.0676
2407,2021-07-28,-0.0064132918064875605,2021-07-28,2021-06-30,10.1852
2471,2021-10-27,-0.05773089655942375,2021-10-27,2021-09-30,12.2392
2543,2022-02-09,0.07655581877801003,2022-02-09,2021-12-31,26.281
2596,2022-04-27,-0.13131131658189238,2022-04-27,2022-03-31,-4.1444
2658,2022-07-27,-0.0007001512187065385,2022-07-27,2022-06-30,-2.0089
2722,2022-10-26,0.060614363182439436,2022-10-26,2022-09-30,7.8824
2793,2023-02-08,0.0917153747893428,2023-02-08,2022-12-31,8.0
2846,2023-04-26,0.0365212161911042,2023-04-26,2023-03-31,3.5
